Date;Open;High;Low;Close
01/24/2024;4.367;4.425;4.324;4.409
01/23/2024;4.321;4.396;4.308;4.367
01/22/2024;4.333;4.37;4.286;4.321
01/19/2024;4.37;4.406;4.329;4.333
01/18/2024;4.318;4.388;4.291;4.37
01/17/2024;4.298;4.346;4.266;4.318
01/16/2024;4.177;4.321;4.177;4.298
01/12/24;4.174;4.216;4.15;4.177
01/11/24;4.206;4.25;4.156;4.174
01/10/24;4.188;4.219;4.151;4.206
01/09/24;4.194;4.219;4.156;4.188
01/08/24;4.2;4.23;4.141;4.194
01/05/24;4.153;4.239;4.115;4.2
01/04/24;4.074;4.156;4.062;4.153
01/03/24;4.077;4.151;4.043;4.074
01/02/24;4.036;4.118;4.036;4.077
